"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","subtype","subtype_color"
"327","p9","fv1_NS_p9c3r8_B08",3760,719405,48558,124498,5120,901832,480285,4,21752,"#3288BD",0.0674974458059091,639945678,0.00104707473815968,"CV","#F8766D","SVv","#E7298A"
"328","p9","fv1_NS_p9c4r5_O05",5577,888051,121865,164246,6983,718536,379716,4,15507,"#3288BD",0.137227479052442,639945678,0.00119557917363267,"CV","#F8766D","SVv","#E7298A"
"329","p9","fv1_NS_p9c4r7_G07",6770,1578338,217481,306482,11598,771218,481910,12,12806,"#3288BD",0.137791144862507,639945678,0.00212124534918745,"CV","#F8766D","Endocardial","#1B9E77"
"330","p9","fv1_NS_p9c5r5_P05",5405,1094405,159665,205287,7429,678643,428737,9,15082,"#3288BD",0.14589206006917,639945678,0.00145812724245031,"CV","#F8766D","Endocardial","#1B9E77"
"331","p9","fv1_NS_p9c5r6_L06",3989,862877,134175,152638,5254,647097,469216,6,25412,"#3288BD",0.155497249318269,639945678,0.00113711513047809,"CV","#F8766D","Venous.Valve.2","#E6AB02"
"332","p9","fv1_NS_p9c6r4_E05",3927,667409,78774,151806,9751,681091,462072,7,23898,"#3288BD",0.118029574069274,639945678,0.000918827688351498,"CV","#F8766D","SVv","#E7298A"
"333","p9","fv1_NS_p9c7r8_E08",4790,943169,105217,168118,6915,627507,410224,10,18947,"#3288BD",0.111556889592427,639945678,0.00130744548255568,"CV","#F8766D","Venous.Valve.1","#66A61E"
"334","p9","fv1_NS_p9c8r4_G05",5348,580534,60660,119427,4232,448092,276683,6,10317,"#3288BD",0.104490004030772,639945678,0.000811622720115035,"CV","#F8766D","Endocardial","#1B9E77"
"335","p9","fv1_NS_p9c8r5_C06",4883,294419,29560,58154,2012,169012,133939,4,4500,"#3288BD",0.100401129003223,639945678,0.000413684084553112,"CV","#F8766D","Endocardial","#1B9E77"
"336","p9","fv1_NS_p9c8r8_F08",4368,569673,159365,162000,3538,680824,451075,7,18184,"#3288BD",0.279748206427196,639945678,0.000640572237954773,"CV","#F8766D","Endocardial","#1B9E77"
"337","p9","fv1_NS_p9c9r5_D06",4424,389035,39224,77382,2348,317814,220399,1,9770,"#3288BD",0.100823833331191,639945678,0.000546285646689904,"CV","#F8766D","Mesenchymal.1","#D95F02"
"338","p9","fv1_NS_p9c9r8_G08",5084,858087,91413,149871,4499,556394,301065,5,19528,"#3288BD",0.106531155931741,639945678,0.00119638909567543,"CV","#F8766D","Endocardial","#1B9E77"
"339","p1","fv1_NS_p1c3r3_K02",4500,477913,25046,80707,3102,347512,227590,15,11713,"#9E0142",0.0524070280574079,639945678,0.000707123728457049,"SV","#00BFC4","foxf1a.excluded","#00BA38"
"340","p1","fv1_NS_p1c4r1_D01",1432,459907,40185,200668,61176,120257,259772,8,13925,"#9E0142",0.0873763608729591,639945678,0.000655386029697946,"SV","#00BFC4","rbc.excluded","#619CFF"
"341","p10","fv1_NS_p10c12r3_M10",3904,284520,41166,59143,2120,206919,127101,2,7559,"#5E4FA2",0.144685786587938,639945678,0.000380099419847291,"CV","#F8766D","col1a1.excluded","#F8766D"
"342","p10","fv1_NS_p10c1r3_B10",4983,1333613,225076,229399,10173,759947,411983,8,23472,"#5E4FA2",0.168771600156867,639945678,0.00172857044122854,"CV","#F8766D","foxf1a.excluded","#00BA38"
"343","p10","fv1_NS_p10c2r5_J11",4163,386871,81864,82804,2545,264356,168046,3,13671,"#5E4FA2",0.21160541886055,639945678,0.000476315765555735,"CV","#F8766D","foxf1a.excluded","#00BA38"
"344","p10","fv1_NS_p10c4r2_I09",6263,862155,124119,147537,5066,417378,230175,9,8896,"#5E4FA2",0.143963672425492,639945678,0.0011517115059585,"CV","#F8766D","foxf1a.excluded","#00BA38"
"345","p10","fv1_NS_p10c6r3_G10",4100,195747,29529,39421,1351,167951,110611,3,4442,"#5E4FA2",0.150852886634278,639945678,0.000259656444833389,"CV","#F8766D","foxf1a.excluded","#00BA38"
"346","p3","fv1_NS_p3c12r7_P17",4544,825073,99466,141304,4719,491762,330060,20,17906,"#F46D43",0.120554181266385,639945678,0.00113236554997254,"SV","#00BFC4","foxf1a.excluded","#00BA38"
"347","p3","fv1_NS_p3c12r8_L18",4134,642990,115945,118288,3516,369143,426932,14,16471,"#F46D43",0.180321622420255,639945678,0.000822729896957641,"SV","#00BFC4","foxf1a.excluded","#00BA38"
"348","p3","fv1_NS_p3c2r1_O12",1450,211497,31890,91941,21434,60404,186044,5,7737,"#F46D43",0.150782280599725,639945678,0.000280563643263232,"SV","#00BFC4","rbc.excluded","#619CFF"
"349","p3","fv1_NS_p3c3r2_L13",4188,580689,58484,110109,3584,484993,247708,16,16071,"#F46D43",0.100714840473989,639945678,0.000815254336044458,"SV","#00BFC4","foxf1a.excluded","#00BA38"
"350","p4","fv1_NS_p4c3r2_J19",1235,745844,71656,285237,89190,192760,300303,19,14527,"#FDAE61",0.0960737097838154,639945678,0.00105225789744334,"SV","#00BFC4","rbc.excluded","#619CFF"
"351","p6","fv1_NS_p6c12r5_B10",5792,665826,56472,118922,4144,481254,273214,37,12611,"#E6F598",0.0848149516540357,639945678,0.000951188045738793,"CV","#F8766D","col1a1.excluded","#F8766D"
"352","p6","fv1_NS_p6c1r6_C10",6516,675802,60568,119214,6127,359030,214711,47,7269,"#E6F598",0.0896238839186626,639945678,0.000960359648174314,"CV","#F8766D","col1a1.excluded","#F8766D"
"353","p6","fv1_NS_p6c6r8_P11",1230,819923,71489,365832,80270,178647,404756,39,30693,"#E6F598",0.0871898946608401,639945678,0.00116797491965515,"CV","#F8766D","rbc.excluded","#619CFF"
"354","p7","fv1_NS_p7c4r5_I14",2136,979727,115025,280879,74695,157038,454402,47,29441,"#ABDDA4",0.117405154701259,639945678,0.00134908411317325,"CV","#F8766D","rbc.excluded","#619CFF"
"355","p7","fv1_NS_p7c7r7_M15",3676,699549,161218,162190,5240,551071,417312,62,35438,"#ABDDA4",0.230459910599543,639945678,0.00084024855034448,"CV","#F8766D","foxf1a.excluded","#00BA38"
"356","p1","fv1_NS_p1c10r1_J01",4919,925071,48031,156506,8627,195162,310799,25,12943,"#9E0142",0.0519214200855934,639945678,0.00136848543807233,"SV","#00BFC4","CV1","#8D71FC"
"357","p1","fv1_NS_p1c10r3_B03",4582,498423,68251,82232,3170,359924,232724,14,14380,"#9E0142",0.136933889487443,639945678,0.000671662586664956,"SV","#00BFC4","SVc","#77CFF4"
"358","p1","fv1_NS_p1c11r1_K01",6706,741145,67281,143883,6179,378730,276238,20,5770,"#9E0142",0.0907798069203732,639945678,0.00105177429450942,"SV","#00BFC4","SVc","#77CFF4"
"359","p1","fv1_NS_p1c11r5_K04",4722,513862,40532,88324,3280,291946,214006,9,7165,"#9E0142",0.0788772082777088,639945678,0.000739039197986124,"SV","#00BFC4","SVc","#77CFF4"
"360","p1","fv1_NS_p1c12r5_L04",5426,570862,47572,90189,4645,447194,238196,15,9439,"#9E0142",0.0833336252894745,639945678,0.000816969205241214,"SV","#00BFC4","SVc","#77CFF4"
"361","p1","fv1_NS_p1c12r7_D06",6502,821236,79039,136398,7954,393877,241051,28,7531,"#9E0142",0.0962439542348363,639945678,0.00115828121079331,"SV","#00BFC4","SVc","#77CFF4"
"362","p1","fv1_NS_p1c1r2_M01",6815,1022476,110417,171549,10060,432813,314466,30,6641,"#9E0142",0.10798982078797,639945678,0.00142292490611895,"SV","#00BFC4","CV1","#8D71FC"
"363","p1","fv1_NS_p1c1r4_E03",6181,759285,92752,127254,5721,437417,296818,24,6681,"#9E0142",0.12215702931047,639945678,0.00104030105624242,"SV","#00BFC4","SVc","#77CFF4"
"364","p1","fv1_NS_p1c1r6_M04",5231,676827,76701,118725,6466,373736,255087,13,8380,"#9E0142",0.113324379789813,639945678,0.00093677344325982,"SV","#00BFC4","SVc","#77CFF4"
"365","p1","fv1_NS_p1c1r7_I05",6028,736138,77279,144836,6680,380497,239071,24,10527,"#9E0142",0.10497895774977,639945678,0.0010283547278167,"SV","#00BFC4","SVc","#77CFF4"
"366","p1","fv1_NS_p1c2r3_J02",3981,546054,49017,90232,3083,420024,289176,18,14040,"#9E0142",0.0897658473337802,639945678,0.000776007058371997,"SV","#00BFC4","SVc","#77CFF4"
"367","p1","fv1_NS_p1c2r4_F03",5909,705914,62620,132320,3957,590745,283221,23,8194,"#9E0142",0.0887076896052494,639945678,0.00100411172053805,"SV","#00BFC4","SVc","#77CFF4"
"368","p1","fv1_NS_p1c3r1_C01",6278,882707,72675,148097,8062,603668,358817,34,11021,"#9E0142",0.0823319629276759,639945678,0.00126401715065572,"SV","#00BFC4","SVc","#77CFF4"
"369","p1","fv1_NS_p1c3r7_K05",5616,597002,61686,99702,4072,340697,230508,20,9191,"#9E0142",0.103326287014114,639945678,0.000835710618039887,"SV","#00BFC4","SVc","#77CFF4"
